Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,B1
2019/8/16,0.018,0.005,0.011,0.011,0.018,0.019,0.012,0.019,0.013,0.014,0.015
2019/8/19,0.01,0.006,0.01,0.013,0.008,0.009,0.01,0.015,0.022,0.011,0.012
2019/8/20,-0.013,-0.002,-0.011,0,-0.012,-0.006,-0.009,-0.005,-0.008,-0.007,-0.008
2019/8/21,0.005,0.007,0.003,0.019,0.005,0.006,0.007,0.012,0.006,0.008,0.008
2019/8/22,0.007,0.001,0.005,0,-0.007,0.001,-0.005,-0.002,-0.004,0,0
2019/8/23,-0.025,-0.011,-0.017,-0.027,-0.024,-0.027,-0.023,-0.033,-0.034,-0.024,-0.026
2019/8/26,0.01,0.012,0.012,0.01,0.003,0.007,0.01,0.014,0.004,0.009,0.011
2019/8/27,-0.006,0.002,-0.003,-0.005,0.001,-0.005,-0.006,-0.002,-0.006,-0.003,-0.004
2019/8/28,0.009,-0.003,0.01,0.012,0.008,0.012,0.007,0.001,0.014,0.008,0.007
2019/8/29,0.015,0.007,0,0.015,0.013,0.017,0.008,0.017,0.015,0.012,0.013
2019/8/30,0.003,0,-0.001,-0.006,0.007,0.004,0.001,0,0,0.001,0
2019/9/3,-0.01,0.018,0.006,-0.004,-0.008,-0.014,-0.006,-0.012,-0.005,-0.004,-0.006
2019/9/4,0.01,0.001,0.009,0.01,0.012,0.013,0.001,0.017,0.014,0.01,0.011
2019/9/5,0.02,-0.011,-0.006,0.019,0.002,0.018,0.01,0.021,0.012,0.009,0.013
2019/9/6,0,-0.004,0.003,0.002,0.004,0.002,0.003,-0.001,0.005,0.002,0.001
2019/9/9,0.015,-0.005,-0.002,0.004,-0.005,0.003,-0.009,-0.007,0.02,0.001,0.001
2019/9/10,0.004,0.001,-0.006,-0.004,0.01,0.009,0.003,-0.005,0.012,0.003,0
2019/9/11,0.006,0.01,0.004,0.002,0.01,0.009,0.01,0.01,0.001,0.007,0.007
2019/9/12,0.005,0.002,0.004,0.005,0.008,0.001,0,0.005,-0.006,0.003,0.003
